from_account,to_account,channel,amount,timestamp
A004,A023,wallet,2877,2026-02-28T17:07:19.090251
A015,A021,wallet,1953,2026-02-28T17:09:43.090251
A019,A025,mobile_app,1619,2026-02-28T17:10:28.090251
A008,A025,wallet,1245,2026-02-28T17:12:58.090251
A020,A008,wallet,641,2026-02-28T17:14:07.090251
A018,A009,mobile_app,4947,2026-02-28T17:16:46.090251
A017,A002,wallet,2195,2026-02-28T17:18:32.090251
A002,A014,atm,2507,2026-02-28T17:20:40.090251
A018,A025,wallet,3521,2026-02-28T17:21:26.090251
A003,A006,mobile_app,579,2026-02-28T17:23:05.090251
A018,A012,wallet,2783,2026-02-28T17:24:21.090251
A001,A008,wallet,2730,2026-02-28T17:27:02.090251
A005,A003,wallet,1130,2026-02-28T17:28:08.090251
A014,A001,mobile_app,3738,2026-02-28T17:30:41.090251
A015,A009,atm,498,2026-02-28T17:31:47.090251
A004,A022,atm,3646,2026-02-28T17:33:10.090251
A003,A013,mobile_app,2905,2026-02-28T17:34:04.090251
A017,A018,mobile_app,631,2026-02-28T17:35:42.090251
A017,A022,mobile_app,2532,2026-02-28T17:37:15.090251
A015,A025,mobile_app,2076,2026-02-28T17:40:00.090251
A008,A024,atm,2414,2026-02-28T17:42:50.090251
A020,A025,wallet,4264,2026-02-28T17:44:51.090251
A012,A022,mobile_app,551,2026-02-28T17:45:41.090251
A012,A022,mobile_app,2638,2026-02-28T17:46:24.090251
A008,A024,wallet,716,2026-02-28T17:49:03.090251
A015,A025,wallet,1282,2026-02-28T17:50:15.090251
A015,A022,atm,2737,2026-02-28T17:52:34.090251
A004,A008,mobile_app,806,2026-02-28T17:53:46.090251
A002,A019,wallet,1088,2026-02-28T17:56:43.090251
A016,A024,mobile_app,3250,2026-02-28T17:59:38.090251
A014,A024,mobile_app,1685,2026-02-28T18:00:56.090251
A020,A025,mobile_app,4543,2026-02-28T18:02:01.090251
A013,A022,wallet,2102,2026-02-28T18:02:34.090251
A011,A021,mobile_app,385,2026-02-28T18:03:09.090251
A004,A022,mobile_app,4397,2026-02-28T18:03:47.090251
A001,A011,wallet,4919,2026-02-28T18:05:10.090251
A011,A013,wallet,130,2026-02-28T18:07:00.090251
A003,A022,atm,2989,2026-02-28T18:09:58.090251
A009,A013,wallet,3056,2026-02-28T18:11:11.090251
A017,A015,atm,1088,2026-02-28T18:13:41.090251
A009,A007,atm,3579,2026-02-28T18:14:18.090251
A004,A023,mobile_app,1414,2026-02-28T18:17:01.090251
A015,A018,mobile_app,2580,2026-02-28T18:17:59.090251
A020,A023,atm,2733,2026-02-28T18:19:34.090251
A013,A021,wallet,2498,2026-02-28T18:21:08.090251
A007,A009,wallet,3858,2026-02-28T18:22:50.090251
A014,A021,mobile_app,2216,2026-02-28T18:23:30.090251
A011,A003,wallet,2913,2026-02-28T18:25:25.090251
A002,A008,wallet,167,2026-02-28T18:27:16.090251
A017,A013,wallet,4782,2026-02-28T18:28:44.090251
A009,A018,atm,1976,2026-02-28T18:30:55.090251
A018,A023,wallet,620,2026-02-28T18:33:46.090251
A008,A022,wallet,3203,2026-02-28T18:35:48.090251
A014,A021,atm,4837,2026-02-28T18:38:11.090251
A019,A024,mobile_app,3555,2026-02-28T18:39:44.090251
A014,A025,atm,1755,2026-02-28T18:40:46.090251
A013,A024,wallet,644,2026-02-28T18:42:02.090251
A009,A021,mobile_app,3396,2026-02-28T18:42:59.090251
A005,A004,wallet,399,2026-02-28T18:45:52.090251
A015,A022,mobile_app,3533,2026-02-28T18:47:14.090251
